trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",25,7,-9.16782743308392,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",20,15,11.050807948624254,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",35,26,-34.25167211830282,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",25,13,3.9723878231711103,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",25,14,-25.487666033122583,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",25,0,18.28859068897823,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",30,10,-44.09834676642771,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",30,10,-45.42406997837918,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",25,0,-14.371715430959078,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",25,19,14.210101826686685,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",20,11,15.063381183807673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",20,9,-12.543572001865876,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
